driving_experience,type_of_vehicle,lanes_or_medians,road_allignment,types_of_junction,road_surface_conditions,light_conditions,weather_conditions,number_of_vehicles_involved,vehicle_movement,pedestrian_movement,accident_severity
5-10yr,,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,3.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Stationwagen,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,3.0,Going straight,Not a Pedestrian,Slight Injury
,,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,One way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Moving Backward,Not a Pedestrian,Slight Injury
Above 10yr,Long lorry,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Public (13?45 seats),Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,2.0,Moving Backward,Not a Pedestrian,Slight Injury
Above 10yr,Public (13?45 seats),Double carriageway (median),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,2.0,Moving Backward,Not a Pedestrian,Slight Injury
Above 10yr,Lorry (11?40Q),Two-way (divided with solid lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Lorry (11?40Q),other,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Other,Not a Pedestrian,Slight Injury
Above 10yr,Pick up upto 10Q,Undivided Two way,Tangent road with flat terrain,O Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,other,Tangent road with flat terrain,O Shape,Dry,Daylight,Normal,2.0,Other,Not a Pedestrian,Slight Injury
2-5yr,Automobile,other,Tangent road with flat terrain,O Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Automobile,other,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Reversing,Not a Pedestrian,Serious Injury
Below 1yr,Long lorry,other,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,,Not a Pedestrian,Serious Injury
2-5yr,Long lorry,One way,Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Stationwagen,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
,,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Special vehicle,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,1.0,Going straight,Not a Pedestrian,Serious Injury
Below 1yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Other,Not a Pedestrian,Slight Injury
1-2yr,Pick up upto 10Q,,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Lorry (11?40Q),Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Motorcycle,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Reversing,"Walking along in carriageway, back to traffic",Slight Injury
2-5yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Stationwagen,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Other,Crossing from driver's nearside,Slight Injury
2-5yr,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Public (> 45 seats),Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Public (> 45 seats),Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Stationwagen,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Turnover,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Slight Injury
Below 1yr,Automobile,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Slight Injury
,Bicycle,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Reversing,Not a Pedestrian,Slight Injury
1-2yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Other,Not a Pedestrian,Slight Injury
2-5yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Public (13?45 seats),Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Special vehicle,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Moving Backward,Not a Pedestrian,Slight Injury
Below 1yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Reversing,Not a Pedestrian,Slight Injury
Above 10yr,Public (13?45 seats),Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,,other,Tangent road with mountainous terrain and,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Lorry (41?100Q),other,Tangent road with flat terrain,O Shape,Dry,Daylight,Normal,2.0,Moving Backward,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,O Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Public (12 seats),Two-way (divided with broken lines road marking),Sharp reverse curve,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Lorry (41?100Q),other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Lorry (41?100Q),Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Public (12 seats),other,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Public (> 45 seats),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,1.0,,Not a Pedestrian,Slight Injury
2-5yr,Pick up upto 10Q,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Stationwagen,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,1.0,Reversing,Not a Pedestrian,Slight Injury
Below 1yr,Other,Two-way (divided with broken lines road marking),Sharp reverse curve,Crossing,Dry,Daylight,Normal,1.0,Going straight,Crossing from driver's nearside,Slight Injury
5-10yr,,Undivided Two way,Sharp reverse curve,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Undivided Two way,Gentle horizontal curve,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Stationwagen,Double carriageway (median),Gentle horizontal curve,Crossing,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
,Pick up upto 10Q,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Lorry (41?100Q),Unknown,Tangent road with mountainous terrain and,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Automobile,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Other,Not a Pedestrian,Slight Injury
,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Moving Backward,Not a Pedestrian,Slight Injury
Above 10yr,Lorry (41?100Q),Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Other,Crossing from driver's nearside,Slight Injury
2-5yr,Lorry (41?100Q),other,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Steep grade upward with mountainous terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Pick up upto 10Q,Double carriageway (median),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Serious Injury
5-10yr,Pick up upto 10Q,Double carriageway (median),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,1.0,Other,Not a Pedestrian,Slight Injury
Above 10yr,Automobile,Two-way (divided with broken lines road marking),Gentle horizontal curve,Crossing,Wet or damp,Daylight,Raining,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Wet or damp,Daylight,Raining,2.0,,Not a Pedestrian,Slight Injury
1-2yr,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Automobile,,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Public (> 45 seats),Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Lorry (41?100Q),other,,Crossing,Dry,Daylight,Normal,2.0,Moving Backward,Not a Pedestrian,Slight Injury
5-10yr,Public (> 45 seats),other,Tangent road with mild grade and flat terrain,Crossing,Dry,Daylight,Normal,2.0,Moving Backward,Not a Pedestrian,Slight Injury
2-5yr,,other,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
,,,,No junction,Dry,Daylight,Normal,2.0,Going straight,Crossing from offside - masked by parked or statioNot a Pedestrianry vehicle,Slight Injury
2-5yr,Automobile,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Turnover,Not a Pedestrian,Slight Injury
2-5yr,Automobile,other,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,1.0,Going straight,Not a Pedestrian,Serious Injury
Above 10yr,Lorry (41?100Q),other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Serious Injury
1-2yr,Automobile,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Serious Injury
1-2yr,Public (13?45 seats),other,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
No Licence,Automobile,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Public (> 45 seats),Double carriageway (median),Escarpments,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),other,Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,2.0,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Slight Injury
Above 10yr,Automobile,Undivided Two way,Escarpments,Crossing,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Lorry (11?40Q),One way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,1.0,,Not a Pedestrian,Slight Injury
5-10yr,Public (13?45 seats),Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,1.0,Other,Unknown or other,Serious Injury
2-5yr,Public (13?45 seats),other,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Getting off,Not a Pedestrian,Slight Injury
2-5yr,,other,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Long lorry,One way,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Lorry (41?100Q),One way,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Lorry (11?40Q),Undivided Two way,Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Raining,1.0,Other,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),other,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Public (12 seats),Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Moving Backward,Not a Pedestrian,Slight Injury
,,other,,Y Shape,Dry,Darkness - lights lit,Normal,2.0,Other,Unknown or other,Slight Injury
2-5yr,Taxi,other,Tangent road with rolling terrain,Y Shape,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,,Double carriageway (median),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Automobile,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Slight Injury
,,other,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,,Not a Pedestrian,Slight Injury
1-2yr,Lorry (41?100Q),other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Serious Injury
2-5yr,Automobile,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Serious Injury
Above 10yr,Automobile,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Lorry (41?100Q),Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Automobile,other,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Automobile,Undivided Two way,Gentle horizontal curve,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Undivided Two way,Gentle horizontal curve,Y Shape,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Taxi,Double carriageway (median),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,,Undivided Two way,Gentle horizontal curve,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
,,other,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,2.0,Going straight,Crossing from offside - masked by parked or statioNot a Pedestrianry vehicle,Slight Injury
Below 1yr,Automobile,other,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
